<ITERATION>, <INVOKE>, <BEGIN_INTERVAL>, <END_INTERVAL>, <DIFFERENCE>, <X1>, <X2>, <F1>, <F2>
1, 3, 0.0, 0.50025, 0.250125, 0.49975, 0.50025, 0.29975, 0.30024999999999996
2, 5, 0.0, 0.25037499999999996, 0.12518749999999998, 0.24987499999999999, 0.25037499999999996, 0.049874999999999975, 0.05037499999999995
3, 7, 0.12493749999999998, 0.25037499999999996, 0.06271874999999999, 0.12493749999999998, 0.12543749999999998, 0.07506250000000003, 0.07456250000000003
4, 9, 0.18740624999999997, 0.25037499999999996, 0.031484374999999995, 0.18740624999999997, 0.18790624999999997, 0.012593750000000042, 0.012093750000000042
5, 11, 0.18740624999999997, 0.21914062499999995, 0.01586718749999999, 0.21864062499999995, 0.21914062499999995, 0.01864062499999994, 0.01914062499999994
6, 13, 0.18740624999999997, 0.20352343749999996, 0.008058593749999995, 0.20302343749999996, 0.20352343749999996, 0.003023437499999948, 0.0035234374999999485
7, 15, 0.19521484374999995, 0.20352343749999996, 0.004154296875000005, 0.19521484374999995, 0.19571484374999995, 0.004785156250000061, 0.004285156250000061
8, 17, 0.19911914062499994, 0.20352343749999996, 0.0022021484375000094, 0.19911914062499994, 0.19961914062499994, 0.0008808593750000704, 0.00038085937500006994
9, 19, 0.19911914062499994, 0.20157128906249996, 0.0012260742187500118, 0.20107128906249996, 0.20157128906249996, 0.0010712890624999527, 0.0015712890624999531
10, 21, 0.19911914062499994, 0.20059521484374995, 0.000738037109375006, 0.20009521484374995, 0.20059521484374995, 0.00009521484374994116, 0.0005952148437499416
